station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,barometer_height,territory_name
"GUIRA DE MELENA, LA HABANA",0-20000-0-78320,78320,Land (fixed),22.78333333,82.51666667,0,0,Cuba
"LA FE, ISLA DE LA JUVENTUD",0-20000-0-78321,78321,Land (fixed),21.73333333,82.76666667,0,0,Cuba
"GUINES, LA HABANA",0-20000-0-78323,78323,Land (fixed),22.85,82.03333333,0,0,Cuba
X,0-20000-0-78326,78326,Land (fixed),0,0,0,0,Cuba
"UNION DE REYES, MATANZAS",0-20000-0-78327,78327,Land (fixed),22.76666667,81.53333333,0,0,Cuba
"INDIO HATUEY, MATANZAS",0-20000-0-78329,78329,Land (fixed),22.81666667,81,0,0,Cuba
"JOVELLANOS, MATANZAS",0-20000-0-78330,78330,Land (fixed),22.78333333,81.18333333,0,0,Cuba
"JAGUEY GRANDE, MATANZAS",0-20000-0-78331,78331,Land (fixed),22.63333333,81.26666667,0,0,Cuba
"COLON, MATANZAS",0-20000-0-78332,78332,Land (fixed),22.68333333,80.93333333,0,0,Cuba
X,0-20000-0-78334,78334,Land (fixed),0,0,0,0,Cuba
"AGUADA DE PASAJEROS, CIENFUEGOS",0-20000-0-78335,78335,Land (fixed),22.38333333,80.85,0,0,Cuba
"TRINIDAD, SANCTI SPIRITUS",0-20000-0-78337,78337,Land (fixed),21.78333333,79.98333333,0,0,Cuba
"SAGUA LA GRANDE, VILLA CLARA",0-20000-0-78338,78338,Land (fixed),22.81666667,80.08333333,0,0,Cuba
"CAYO COCO, CIEGO DE AVILA",0-20000-0-78339,78339,Land (fixed),22.51666667,78.45,0,0,Cuba
"BAINOA, LA HABANA",0-20000-0-78340,78340,Land (fixed),23.03333333,81.91666667,0,0,Cuba
"EL JIBARO, SANCTI SPIRITUS",0-20000-0-78341,78341,Land (fixed),21.71666667,79.21666667,0,0,Cuba
"TOPES DE COLLANTES, SANCTI SPIRITUS",0-20000-0-78342,78342,Land (fixed),21.91666667,80.01666667,0,0,Cuba
"EL YABU, VILLA CLARA",0-20000-0-78343,78343,Land (fixed),22.43333333,79.98333333,0,0,Cuba
"VENEZUELA, CIEGO DE AVILA",0-20000-0-78346,78346,Land (fixed),21.78333333,78.78333333,0,0,Cuba
"CAMILO CIENFUEGOS, CIEGO DE AVILA",0-20000-0-78347,78347,Land (fixed),22.15,78.75,0,0,Cuba
"FLORIDA, CAMAGUEY",0-20000-0-78350,78350,Land (fixed),21.51666667,78.23333333,0,0,Cuba
"ESMERALDA, CAMAGUEY",0-20000-0-78352,78352,Land (fixed),21.85,78.11666667,0,0,Cuba
"PALO SECO, CAMAGUEY",0-20000-0-78354,78354,Land (fixed),21.13333333,77.31666667,0,0,Cuba
X,0-20000-0-78356,78356,Land (fixed),0,0,0,0,Cuba
"LAS TUNAS, LAS TUNAS",0-20000-0-78357,78357,Land (fixed),20.95,76.95,0,0,Cuba
"MANSANILLO, GRANMA",0-20000-0-78359,78359,Land (fixed),20.33333333,77.13333333,0,0,Cuba
"JUCARITO, GRANMA",0-20000-0-78361,78361,Land (fixed),20.66666667,"	76.9000",0,0,Cuba
"LA JIQUIMA, HOLGUIN",0-20000-0-78362,78362,Land (fixed),20.93333333,76.53333333,0,0,Cuba
"UNIVERSIDAD, SANTIAGO DE CUBA",0-20000-0-78364,78364,Land (fixed),20.05,75.81666667,0,0,Cuba
"GRAN PIEDRA, SANTIAGO DE CUBA",0-20000-0-78366,78366,Land (fixed),20.03333333,75.63333333,0,0,Cuba
"GUANTANAMO, GUANTANAMO",0-20000-0-78368,78368,Land (fixed),20.13333333,75.23333333,0,0,Cuba
"GUARO, HOLGUIN",0-20000-0-78370,78370,Land (fixed),20.66666667,75.78333333,0,0,Cuba
"PINARES DE MAYARI, HOLGUIN",0-20000-0-78371,78371,Land (fixed),20.48333333,75.8,0,0,Cuba
X,0-20000-0-78372,78372,Land (fixed),0,0,0,0,Cuba
"SANTIAGO DE LAS VEGAS, CIUDAD HABANA",0-20000-0-78373,78373,Land (fixed),22.96666667,82.38333333,0,0,Cuba
"TAPASTE, LA HABANA",0-20000-0-78374,78374,Land (fixed),23.01666667,82.13333333,0,0,Cuba
"MELENA DEL SUR, LA HABANA",0-20000-0-78375,78375,Land (fixed),22.76666667,82.13333333,0,0,Cuba
"BAUTA, LA HABANA",0-20000-0-78376,78376,Land (fixed),22.96666667,22.96666667,0,0,Cuba
"VEGUITAS, GRANMA",0-20000-0-78377,78377,Land (fixed),20.31666667,76.88333333,0,0,Cuba
"VELASCO, HOLGUIN",0-20000-0-78378,78378,Land (fixed),21.08333333,76.3,0,0,Cuba
